"experiment_id","artifact","external_path","sha256","size_bytes","path_status","notes"
"A1-s42","best.pt","/kaggle/input/models/nithoukhan1/a1-2/pytorch/default/1/A1_splitB_SC_e50_pretrained_seed42/weights/best.pt","4df8bcab96eec203c3e50a3a979bb7d48fa242ea5f505dafc755f5c44f187316","22608854","VERIFIED",""
"A2-s42","best.pt","/kaggle/input/models/nithoukhan/a2-2/pytorch/default/1/A2_splitB_DySample_pretrained_seed42/weights/best.pt","db1dd93055a042cfc3a954e0a19d1b3d073374d49fe647e9dc9ead327fb791fd","19271036","VERIFIED",""
"A3-s42","best.pt","/kaggle/input/models/nithoukhan2/a3-2/pytorch/default/1/A3_splitB_SC_e50_DySample_pretrained_seed42/weights/best.pt","70bd490714e5af1cbe964087ea66d300a7a6856ff82dd503a512934ae9b04111","22660088","VERIFIED",""
"C0-s43","best.pt","/kaggle/input/models/hebut123/c0-2/pytorch/default/1/C0_splitB_baseline_pretrained_seed43/weights/best.pt","4f81580ce6a1a2d68f1569dd91e15f4f4259c9b62be4b4a2ad7630d7064fc5cc","19219866","VERIFIED",""
"C1-s43","best.pt","/kaggle/input/models/abasitive/c1-2/pytorch/default/1/C1_splitB_SC_e50_pretrained_seed43/weights/best.pt","4e5dd06784b46be122dc9a05d551aca81a4356763f71f520247f2bdb27619e93","22608726","VERIFIED",""
"C2-s43","best.pt","/kaggle/input/models/vickyhit/c2-2/pytorch/default/1/C2_splitB_SC_e50_DySample_pretrained_seed43/weights/best.pt","6e5eabfb50abda181df38eb2260fbfd562e32823fd81e91605c11bb00279414d","22660024","VERIFIED",""
"A0/B3-s42","best.pt","/kaggle/input/models/vickyhit/b3-2/pytorch/default/1/B3_splitB_clean_conservative_pretrained_seed42","08977fa37c4c3d764e284ad1fcc130b292cbd6942b06065a39fcf749ccbcc8d5","","VERIFIED_DIRECTORY","Exact Kaggle model directory and best.pt SHA256 verified historically; exact byte size not reconstructed."
"B2","best.pt","","40e9b1afdbbe237b3e8dae3e513dad2d82ec45a0cabbbc8b4ac8cab9db8f2bfe","","PATH_NOT_RECONSTRUCTED","best.pt SHA256 verified historically. Exact immutable Kaggle artifact path not yet reconstructed."
