experiment_id,split,train_data,initialization,seed,status,source_commit,data_binding,init_checkpoint_sha256,epochs,best_epoch,imgsz,batch,optimizer,primary_metric,primary_value,mAP50,precision,recall,f1,best_pt_sha256,best_pt_external_ref,decision,notes
BASE-B-ORG-PT-S42,B,original,pretrained,42,NOT_STARTED,,DATA01:B-ORG:v1,85a76fe86dd8afe384648546b56a7a78580c7cb7b404fc595f97969322d502d5,100,,1024,16,SGD,val_mAP50-95,,,,,,,,,INIT01:YOLO11S-9C-PTVSCR-S42:v1
BASE-B-ORG-SCR-S42,B,original,scratch,42,NOT_STARTED,,DATA01:B-ORG:v1,,100,,1024,16,SGD,val_mAP50-95,,,,,,,,,INIT01:scratch-seed42-no-checkpoint
BASE-B-AUG-PT-S42,B,augmented,pretrained,42,NOT_STARTED,,DATA01:B-AUG-HIST:v1,85a76fe86dd8afe384648546b56a7a78580c7cb7b404fc595f97969322d502d5,100,,1024,16,SGD,val_mAP50-95,,,,,,,,,INIT01:YOLO11S-9C-PTVSCR-S42:v1
BASE-B-AUG-SCR-S42,B,augmented,scratch,42,NOT_STARTED,,DATA01:B-AUG-HIST:v1,,100,,1024,16,SGD,val_mAP50-95,,,,,,,,,INIT01:scratch-seed42-no-checkpoint
BASE-A-AUG-PT-S42,A,augmented,pretrained,42,NOT_STARTED,,DATA01:A-AUG:v1,85a76fe86dd8afe384648546b56a7a78580c7cb7b404fc595f97969322d502d5,100,,1024,16,SGD,val_mAP50-95,,,,,,,,,INIT01:YOLO11S-9C-PTVSCR-S42:v1
BASE-A-AUG-SCR-S42,A,augmented,scratch,42,NOT_STARTED,,DATA01:A-AUG:v1,,100,,1024,16,SGD,val_mAP50-95,,,,,,,,,INIT01:scratch-seed42-no-checkpoint
